song_id,peak_position,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,valence,tempo
3lFf4DnT68QjQGB3iq1BJ9,99,0.161,0.671,0.668,0.0,0.219,-7.086,0.0851,0.487,153.953
4L9Ds4mpD3SuYoWwFUlv16,69,0.0791,0.362,0.882,0.0,0.15,-3.717,0.0973,0.864,199.811
4lFfMRH0YH4pW5gczTDbNC,56,0.24,0.741,0.37,0.0,0.118,-8.437,0.324,0.13,116.06
6Q36XucqrejMId3RydVhch,15,0.166,0.86,0.408,0.0,0.111,-5.389,0.189,0.0548,75.481
7pVzUPjJ83QojsVcOthmxP,8,0.0894,0.831,0.528,2.58e-05,0.396,-7.635,0.534,0.232,153.987
53yTYusPQJ1AApL1hi0Dnc,66,0.185,0.472,0.884,0.0,0.178,-2.306,0.0584,0.718,159.96
7HdNB8nvJOBwHa8hIkzvxp,45,0.0996,0.715,0.617,3.41e-06,0.186,-5.558,0.24,0.283,176.117
378u8gf9qpJ4ZhxHEvrodl,38,0.868,0.557,0.279,1.25e-05,0.0978,-7.757,0.0372,0.263,102.727
0Y7di9ZCmB6Elad5WISaPc,87,0.033,0.879,0.662,0.0,0.716,-6.162,0.309,0.723,117.975
1E1uGhNdBe6Dddbgs2KqtZ,51,0.00849,0.62,0.61,0.162,0.205,-8.329,0.0373,0.235,127.052
5HeKOKc4phmLn8e4I7EkzD,20,0.0563,0.749,0.723,0.022,0.0977,-6.609,0.0432,0.674,108.999
6qNALlmZa1ESnCxJmXE1K9,40,0.314,0.755,0.769,2.38e-06,0.0628,-5.658,0.186,0.642,114.966
5cGpjfgAvidLy6znwkCxkP,84,0.121,0.578,0.577,0.0,0.086,-5.997,0.202,0.154,99.288
4z2XPrpHz1raJibarWFY7Z,8,0.798,0.699,0.282,1.23e-06,0.0981,-7.65,0.0374,0.359,79.776
5SehvGGC53A7SZKCLXQcyt,22,0.0699,0.728,0.602,7.01e-06,0.318,-7.748,0.185,0.328,140.081
2DnH4XlEkghUdE8ymdVom5,54,0.0283,0.769,0.55,0.0,0.139,-6.299,0.359,0.36,97.01
0ubdf6zWT1It2saK41SkO0,44,0.0169,0.807,0.571,0.0,0.252,-6.937,0.312,0.0993,139.996
5s6pKnF3ZPtuqvEx1i1V7U,42,0.276,0.788,0.765,0.0,0.216,-3.93,0.439,0.667,144.046
7EgI0dCaQuHFe3OTj5EpWI,39,0.00705,0.929,0.598,0.0,0.0549,-5.373,0.156,0.501,96.012
1Dk3CfJEtqvj7Xg2AWwfEn,36,0.144,0.752,0.703,0.0,0.325,-3.417,0.213,0.641,149.988
6y4pOReFqH2wzo4CV91cZC,27,0.479,0.641,0.579,9.58e-05,0.214,-8.278,0.0895,0.421,145.994
3BUWNzPWz2mDbptZmGEXpB,26,0.0216,0.552,0.562,0.0,0.302,-6.862,0.164,0.439,135.014
68lOQPb5tX8U2cQRuas0L2,23,0.337,0.678,0.666,0.0,0.115,-6.949,0.487,0.523,87.634
63TyoT9Ee03rQxv8xmdJ2l,88,0.217,0.895,0.839,3e-06,0.239,-4.512,0.227,0.756,149.951
1kaxyXcAi5ZHF3Q94QXsHK,20,0.273,0.754,0.615,0.0,0.13,-5.346,0.171,0.345,140.04
4E3qImtJzRqLt8ZZyLceOE,15,0.4,0.746,0.644,0.0,0.095,-2.605,0.232,0.542,146.178
7gY3cyGcB2wnk2xDXiA0pe,37,0.0112,0.578,0.694,0.0,0.102,-5.351,0.0706,0.268,129.921
0tgVpDi06FyKpA1z0VMD4v,100,0.163,0.599,0.448,0.0,0.106,-6.312,0.0232,0.168,95.05
3CA9pLiwRIGtUBiMjbZmRw,100,0.0891,0.586,0.909,0.000109,0.119,-6.474,0.0705,0.757,93.394
6DCZcSspjsKoFjzjrWoCdn,100,0.0332,0.754,0.449,8.29e-05,0.552,-9.211,0.109,0.357,77.169
6Poyf51k7W3NKnsGwAI90B,83,0.313,0.855,0.787,0.0,0.194,-4.134,0.334,0.702,88.003
4VXIryQMWpIdGgYR4TrjT1,60,0.0769,0.671,0.529,0.000335,0.0856,-7.226,0.307,0.203,161.989
58QhkbaAkLFnn7JwAnAato,89,0.227,0.83,0.546,0.0,0.112,-5.716,0.295,0.535,182.973
4Vxu50qVrQcycjRyJQaZLC,65,0.105,0.687,0.842,0.0,0.0436,-4.382,0.058,0.778,87.968
3DV49ruvI5Sl6iisPZAc2c,53,0.0362,0.597,0.721,0.0,0.0832,-6.422,0.0356,0.437,132.054
7wBJfHzpfI3032CSD7CE2m,93,0.00947,0.487,0.789,4.05e-06,0.189,-3.69,0.044,0.0564,150.007
3oDkdAySo1VQQG0ptV7uwa,33,0.0414,0.665,0.651,0.0,0.0896,-5.515,0.156,0.237,163.935
5bJ1DrEM4hNCafcDd1oxHx,68,0.367,0.52,0.538,0.00187,0.119,-8.109,0.206,0.177,141.894
2jt2WxXMCD4zjACthkJQVE,93,0.0311,0.939,0.551,0.0,0.192,-9.126,0.291,0.42,118.552
2VIPU72L6tIR4w8J8ap6Kp,72,0.84,0.638,0.367,0.0,0.0999,-7.906,0.0266,0.219,71.957
7B9UAoGiN4iMCv4s40xoiM,53,0.00517,0.374,0.742,0.0,0.11,-3.36,0.0432,0.21,139.953
2gsNpSn7VvvJuSrIDfRoYy,85,0.112,0.78,0.808,0.0,0.329,-5.175,0.484,0.642,79.982
7uzmGiiJyRfuViKKK3lVmR,90,0.0161,0.71,0.789,2.77e-06,0.451,-3.874,0.0722,0.717,142.929
5p7GiBZNL1afJJDUrOA6C8,31,0.343,0.69,0.462,0.00218,0.113,-8.054,0.13,0.325,157.655
2XTquzYQAdT1Hk78bOUwsv,78,0.0441,0.809,0.737,0.0,0.341,-5.186,0.108,0.367,80.025
01z2fBGB8Hl3Jd3zXe4IXR,10,0.89,0.272,0.238,0.00925,0.275,-12.148,0.0349,0.119,83.507
7p4vHnYXkxlzvfePJVpcTr,47,0.162,0.554,0.596,0.00482,0.0805,-8.214,0.13,0.255,165.728
3qN5qMTKyEEmiTZD38BNTT,94,0.279,0.899,0.586,0.0,0.0836,-7.866,0.344,0.492,150.001
0wbnC9AUenxp613TYaJsGK,65,0.0146,0.936,0.588,0.0,0.139,-6.948,0.136,0.238,124.987
0evt4UZbdhnHtcAnxkm6A1,62,0.261,0.907,0.64,0.0,0.0785,-6.542,0.354,0.803,120.995
60Z57Wdrn0pEVpHI7d7GAX,59,0.0305,0.616,0.684,0.0,0.376,-6.032,0.311,0.312,179.503
4j3GWI86JvSaF0BLdmgcfF,57,0.0129,0.76,0.579,0.00351,0.106,-7.374,0.0569,0.125,100.01
08bNPGLD8AhKpnnERrAc6G,90,0.205,0.626,0.88,0.0,0.128,-2.384,0.0504,0.534,95.079
4eWQlBRaTjPPUlzacqEeoQ,95,0.181,0.637,0.713,0.000637,0.137,-4.333,0.0747,0.243,129.923
0JP9xo3adEtGSdUEISiszL,88,0.556,0.921,0.537,0.00404,0.102,-5.723,0.0804,0.711,128.009
2ZFrEp20VO25BXYhMxh0GW,79,0.0997,0.602,0.805,0.0,0.172,-6.079,0.0473,0.322,92.401
33b2wX9d0kxqxhi7lcsC1A,29,0.212,0.653,0.859,0.0,0.111,-3.048,0.0449,0.705,174.037
7AFASza1mXqntmGtbxXprO,83,0.883,0.669,0.308,0.0,0.0984,-10.068,0.029,0.52,64.934
5ubwXXOsH9bUhZsQ0Cybha,42,0.0142,0.746,0.825,0.0107,0.121,-4.666,0.169,0.584,152.914
4mHgYpuGHu99Mw69E83CP2,55,0.68,0.767,0.538,0.0,0.192,-6.044,0.052,0.343,81.031
79Mjfhh393dZdAsTvUFDR6,38,0.0218,0.541,0.703,0.0,0.0964,-5.573,0.102,0.238,94.858
7rC5Pl8rQSX4myONQHYPBK,88,0.0456,0.755,0.575,0.00124,0.276,-8.393,0.0678,0.49,85.987
0b9oOr2ZgvyQu88wzixux9,100,0.117,0.854,0.463,0.0,0.354,-6.159,0.137,0.549,120.024
2QZ7WLBE8h2y1Y5Fb8RYbH,90,0.0573,0.622,0.712,0.0,0.13,-7.321,0.066,0.487,140.025
70khXICDeTTxgYtw3EysKH,46,0.248,0.721,0.459,0.0,0.212,-6.408,0.032,0.46,119.914
0WdR2AyLW1Drd3OUdwezM0,39,0.186,0.71,0.614,0.0,0.0974,-6.757,0.0431,0.658,148.152
1xWH8zYtDeS9mW1JJG23VZ,29,0.375,0.831,0.485,1.47e-05,0.118,-6.677,0.15,0.622,80.022
1mJMD1VIQ7jWTP9DK2zmY0,48,0.143,0.492,0.681,0.0,0.199,-7.038,0.075,0.511,178.01
14kYOiFVPb7E7NfFbqhdln,14,0.0217,0.708,0.454,0.0,0.073,-7.07,0.0395,0.24,110.963
003eoIwxETJujVWmNFMoZy,36,0.0822,0.353,0.755,0.0,0.39,-6.276,0.733,0.437,191.153
0XOnMqLQDO89iAg7dWWwnG,2,0.43,0.652,0.31,1.16e-05,0.182,-10.212,0.0509,0.304,119.913
1e4rwBPVI32vZtTJu7mJ4J,91,0.276,0.69,0.729,5.08e-05,0.106,-5.08,0.372,0.478,128.96
2Yl4OmDby9iitgNWZPwxkd,90,0.0256,0.82,0.568,0.0,0.0952,-8.23,0.411,0.535,152.279
1xYpVRspgaLxdJLOTQkTjg,74,0.221,0.588,0.567,0.0,0.135,-3.738,0.0628,0.113,150.009
27a1mYSG5tYg7dmEjWBcmL,63,0.201,0.702,0.708,0.0,0.118,-5.366,0.0547,0.713,147.98
20MuVazoNMv6xjKPnRFOxG,71,0.192,0.741,0.645,0.0,0.163,-5.116,0.0963,0.488,149.07
4SZepBIPDRwPaHIjAKwRDb,75,0.389,0.607,0.609,1.6e-05,0.111,-5.978,0.291,0.556,74.946
6OaVWaGfhXn70ZJfdVcabn,70,0.0204,0.731,0.811,0.0,0.411,-3.225,0.0712,0.426,147.045
7KZ5MMVgBVox9ycroB2UrI,77,0.229,0.428,0.403,0.0,0.22,-5.914,0.209,0.133,95.387
6rDaCGqcQB1urhpCrrD599,14,0.0805,0.705,0.816,0.0,0.476,-7.046,0.32,0.929,94.211
11kDth1aKUEUMq9r1pqyds,65,0.173,0.712,0.481,0.0,0.241,-5.415,0.0487,0.062,140.0
7BXW1QCg56yzEBV8pW8pah,11,0.204,0.643,0.638,0.0,0.0707,-4.947,0.0407,0.6,82.001
63SevszngYpZOwf63o61K4,15,0.156,0.592,0.691,9.78e-06,0.418,-8.354,0.196,0.0796,99.976
6BJbOXDlgVAXSaq6wYFYT2,60,0.0678,0.804,0.763,0.0,0.368,-5.48,0.0519,0.0585,136.052
4KYS9GK68yeuUJ8vJfPxrq,58,0.0462,0.834,0.731,0.0,0.0731,-5.603,0.0566,0.681,140.001
6NMtzpDQBTOfJwMzgMX0zl,54,0.00146,0.46,0.686,0.0,0.375,-5.948,0.0367,0.252,148.054
4MXhiYIRDMGAuvZc5IFTwC,53,0.142,0.7,0.46,4.81e-05,0.111,-8.111,0.0661,0.286,151.901
2cYqizR4lgvp4Qu6IQ3qGN,51,0.0531,0.763,0.628,0.0,0.114,-5.85,0.05,0.193,140.958
58TaFP5j5i9swOf584yon2,48,0.0985,0.689,0.723,0.0,0.158,-4.052,0.0836,0.288,160.042
6vnfObZ4Ys70SBAtti1xZ9,33,0.0862,0.81,0.582,0.00681,0.207,-5.098,0.125,0.503,95.004
3dlCF1mzW1UKMOb4b1XN17,58,0.0875,0.612,0.878,0.0,0.0505,-3.556,0.0452,0.599,94.014
6Qn5zhYkTa37e91HC1D7lb,89,0.0362,0.672,0.655,0.0,0.117,-5.021,0.0311,0.556,134.945
0STK94RxUulYqWzwFlyAb5,54,0.798,0.397,0.303,4.16e-06,0.0824,-10.413,0.11,0.17,170.22
4BdGO1CaObRD4La9l5Zanz,59,0.117,0.638,0.738,0.000384,0.689,-4.976,0.0292,0.657,97.021
4gB7HrYHbJVJ5RFOjxmoq4,67,0.00585,0.544,0.781,0.0,0.191,-6.16,0.0311,0.527,144.075
09mEdoA6zrmBPgTEN5qXmN,97,0.17,0.461,0.593,0.0,0.307,-4.954,0.0356,0.175,134.17
3U21A07gAloCc4P7J8rxcn,90,0.123,0.925,0.31,0.0,0.0931,-6.531,0.291,0.291,121.927
